batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_0,230,1,0.5874125874125874,1,0.5524475524475525,8,0.15384615384615385
batch_0,231,8,0.0979020979020979,7,0.5734265734265735,1,0.7832167832167832
batch_0,232,11,-0.2657342657342658,1,0.8391608391608393,10,0.3846153846153847
batch_0,233,3,0.6503496503496504,1,0.46153846153846156,2,0.32867132867132864
batch_0,234,1,0.5314685314685316,2,0.4545454545454546,5,0.5104895104895105
batch_0,235,10,0.14685314685314685,1,0.5454545454545455,4,0.4755244755244756
batch_0,236,9,0.034965034965034975,1,0.41958041958041964,5,0.44755244755244755
batch_0,237,5,0.49650349650349657,1,0.46153846153846156,4,0.7272727272727274
batch_0,238,3,0.4125874125874127,2,0.5594405594405596,2,0.6433566433566434
batch_0,239,7,0.3846153846153847,1,0.7622377622377624,2,0.49650349650349657
batch_0,23,6,0.055944055944055944,1,0.6993006993006995,2,0.6433566433566434
batch_0,240,5,0.3216783216783217,2,0.5874125874125874,3,0.4895104895104896
batch_0,241,5,0.6083916083916086,2,0.8181818181818183,3,0.5174825174825175
batch_0,242,1,-0.20979020979020982,1,0.9160839160839163,4,0.8601398601398602
batch_0,243,6,0.2517482517482518,1,0.6503496503496504,5,0.7552447552447553
batch_0,244,8,-0.6643356643356644,2,0.8811188811188813,1,0.7482517482517484
batch_0,245,5,-0.1958041958041958,2,0.8951048951048951,1,0.8111888111888113
batch_0,246,2,0.7762237762237763,1,0.7132867132867133,1,0.4685314685314686
batch_0,247,10,-0.14685314685314685,3,0.31468531468531474,2,0.7412587412587414
batch_0,248,5,-0.20979020979020982,1,0.7832167832167832,2,0.6013986013986015
batch_0,249,11,0.1328671328671329,1,0.8741258741258742,2,0.8111888111888113
batch_0,24,10,-0.10489510489510491,8,0.30069930069930073,1,0.3426573426573427
batch_0,25,3,0.1258741258741259,3,0.7342657342657343,5,0.2517482517482518
batch_0,26,12,-0.46153846153846156,1,0.8531468531468532,1,0.2517482517482518
batch_0,27,1,0.8461538461538463,6,0.44055944055944063,1,0.7482517482517484
batch_0,28,8,-0.37762237762237766,2,0.7552447552447553,1,0.8251748251748254
batch_0,29,1,0.07692307692307693,1,0.6013986013986015,1,0.8461538461538463
batch_0,2,5,0.6503496503496504,5,0.7832167832167832,1,0.6293706293706295
batch_0,30,4,-0.013986013986013986,4,0.7202797202797203,2,0.5384615384615385
batch_0,31,11,-0.11188811188811189,1,0.7622377622377624,2,0.7552447552447553
batch_0,32,11,0.1188811188811189,1,0.7902097902097903,2,0.8531468531468532
batch_0,33,8,0.22377622377622378,1,0.6223776223776225,4,0.6993006993006995
batch_0,34,1,0.5454545454545455,1,0.7202797202797203,5,0.7832167832167832
batch_0,35,5,0.4685314685314686,1,0.8391608391608393,4,0.5174825174825175
batch_0,36,5,0.4265734265734266,3,0.6643356643356644,1,0.4755244755244756
batch_0,37,9,-0.1188811188811189,4,0.7272727272727274,2,0.6433566433566434
batch_0,38,1,0.5734265734265735,4,0.18881118881118883,5,0.4265734265734266
batch_0,39,3,0.3216783216783217,3,0.8671328671328673,2,0.5594405594405596
batch_0,3,3,0.5594405594405596,2,0.8181818181818183,4,0.7412587412587414
batch_0,40,5,-0.04895104895104895,2,0.7902097902097903,3,0.6783216783216784
batch_0,41,10,-0.1188811188811189,2,0.7622377622377624,4,0.5314685314685316
batch_0,42,2,0.5664335664335665,4,0.4685314685314686,1,0.7342657342657343
batch_0,43,2,0.3076923076923077,1,0.9160839160839163,5,0.7622377622377624
batch_0,44,9,0.16783216783216784,1,0.7272727272727274,3,0.7622377622377624
batch_0,45,5,0.23076923076923078,1,0.9510489510489512,1,0.8441343943477072
batch_0,46,4,0.6713286713286714,9,-0.10489510489510491,1,0.7202797202797203
batch_0,47,5,0.31468531468531474,1,0.7902097902097903,4,0.4895104895104896
batch_0,48,8,-0.06293706293706294,3,0.41958041958041964,2,0.46153846153846156
batch_0,49,6,0.7902097902097903,1,0.1958041958041958,7,-0.21678321678321683
batch_0,4,2,0.5314685314685316,1,0.3916083916083916,7,0.6573426573426573
batch_0,50,5,0.27272727272727276,1,0.5104895104895105,2,0.6643356643356644
batch_0,51,7,0.20979020979020982,5,0.3916083916083916,4,0.7202797202797203
batch_0,52,10,0.15384615384615385,4,0.6223776223776225,1,0.6923076923076924
batch_0,53,5,-0.02097902097902098,1,0.8181818181818183,7,0.4755244755244756
batch_0,54,4,-0.2517482517482518,2,0.7972027972027973,6,0.3916083916083916
batch_0,55,4,0.5944055944055945,6,0.46153846153846156,5,0.4545454545454546
batch_0,56,8,0.22377622377622378,1,0.7552447552447553,2,0.5524475524475525
batch_0,57,1,0.3426573426573427,1,0.6223776223776225,2,0.6013986013986015
