leaf_dist,anc_dist,leaf_brlen,anc_brlen
1.853796090604363371e+02,1.100459292805499558e+02,1.331254156479623134e+02,8.560296719524444597e+00
8.547737080065422788e+01,1.623001226930239795e+02,8.547737080065422788e+01,2.049145479250807966e+01
4.616944848908599397e+01,1.418086679005158999e+02,1.756287337158232731e+01,3.088590436750223489e+00
1.240785354234276383e+00,1.704152430180195665e+02,1.240785354234276383e+00,2.860657511750366666e+01
5.014732855117935628e+01,1.387200774637656764e+02,5.014732855117935628e+01,1.642191066812415556e+01
8.526866396356120958e+01,1.222981667956415208e+02,6.121892774111819335e+01,6.863866068715367419e+00
8.713625140843305417e+00,1.463479030180845371e+02,8.713625140843305417e+00,2.404973622244301623e+01
1.416251937749316880e+02,1.154343007269261534e+02,1.364964831731879258e+02,3.547232686923393885e-01
4.999315496082311938e+01,1.205630113286699157e+02,4.999315496082311938e+01,5.128710601743762254e+00
9.784278259705209280e+01,1.150795774582338140e+02,8.498663040146166736e+01,4.932661464718762545e+00
6.919814025948653580e+00,1.279357296538242394e+02,6.919814025948653580e+00,1.285615219559042544e+01
1.550265745594339819e+02,1.101469159935150515e+02,1.465983056141388943e+02,1.009867129650956485e-01
1.120630217721316626e+02,1.185751849388101391e+02,4.475990885968471389e+01,7.634899166983359464e+00
8.667937531081662428e+00,1.858782978512570878e+02,8.667937531081662428e+00,4.458309179143796541e+01
7.346471961510911797e+01,1.412952060598191224e+02,7.346471961510911797e+01,2.272002112100898330e+01
6.868049954666111034e+01,1.109402857718267796e+02,6.868049954666111034e+01,7.933697783117281688e-01
1.215533799125451253e+02,1.014856325610255112e+02,1.780531204036731197e+01,1.584070314073017016e+01
5.946698879879306787e+00,2.052337004332033246e+02,5.946698879879306787e+00,1.037480678721778133e+02
1.826574286073677627e+02,8.564492942029534106e+01,1.164646917101640042e+02,3.897479806335581998e-01
5.970264284310340486e+01,1.518376663174990995e+02,5.970264284310340486e+01,2.538727539478821882e+01
1.094964437065951586e+02,1.264503909227108807e+02,8.743838348314906739e+01,1.202052802643464702e+01
4.538893055048737324e+01,1.485084511461569718e+02,4.538893055048737324e+01,8.248898189189446839e+00
3.594366008358429099e+01,1.402595529569675250e+02,3.594366008358429099e+01,1.358852672901264214e+00
3.308358423322124509e+01,1.389007002840662608e+02,3.308358423322124509e+01,1.245030936135538013e+01
8.349234046026387546e+01,1.144298628962762336e+02,3.622275751720408721e+01,6.364229622372818085e+00
6.388306902069871285e+00,1.616994458393360219e+02,6.388306902069871285e+00,2.800322899851494185e+00
6.038140635368620224e+00,1.588991229394845277e+02,6.038140635368620224e+00,1.008783421634581146e+01
2.716498277214304835e+01,1.488112887231387163e+02,2.716498277214304835e+01,3.438142582686248261e+01
7.648868105513096793e+01,1.080656332739034156e+02,2.297381540703767655e+01,1.086399515516291103e+00
8.072283947948676541e+00,1.615804989219967069e+02,8.072283947948676541e+00,2.212191781349855546e+01
1.800831846657359847e+01,1.394585811084981515e+02,1.800831846657359847e+01,3.139294783459473592e+01
1.270702070362807774e+02,1.069792337583871245e+02,9.860630336808347352e+01,1.980420535700329765e+01
5.149466471138856605e+01,1.354431374265844283e+02,3.670877037185175595e+01,1.322320425735711069e+01
2.891581297466967726e+01,1.502290317661212384e+02,2.891581297466967726e+01,1.478589433953681009e+01
4.896449329873513534e+01,1.222199331692273176e+02,3.026379073914819173e+01,1.189888548407225244e+00
1.000442966873549722e+01,1.409206357288142613e+02,1.000442966873549722e+01,1.870070255958694361e+01
4.224883854673396399e+01,1.210300446208200924e+02,4.224883854673396399e+01,1.405081086243296795e+01
1.504089182421552096e+02,8.717502840138382680e+01,1.147404948591855600e+02,1.530098981088485743e+00
5.320544986101288032e+01,1.228434517843534763e+02,5.320544986101288032e+01,5.950446199539101144e-01
9.011886623162101273e+01,1.222484071643995662e+02,9.011886623162101273e+01,3.507337876301573942e+01
1.632827402442854350e+02,8.525518143966178286e+01,9.617854415933044265e+01,1.382994109382184433e+01
7.653157133583792415e+01,1.523593775246167752e+02,7.653157133583792415e+01,2.445027898930334231e+00
1.657726700684867183e+01,1.499143496256864410e+02,1.657726700684867183e+01,1.709504883616176585e+01
4.791063430031044845e+01,1.328193007895246751e+02,4.534619556226084569e+01,4.478776657996490940e+00
2.019316360682626055e+01,1.353837395275742779e+02,2.019316360682626055e+01,2.564438738049602762e+00
9.525497642415891164e+01,1.283405241315281842e+02,1.352155416496040630e+01,8.635395753092780069e+00
1.615064062443707371e+00,2.100739463907266895e+02,1.615064062443707371e+00,4.371193150454905663e+01
3.822340193816123133e+01,1.663620148861776329e+02,3.822340193816123133e+01,2.369619236521884886e-01
1.132097733492469160e+01,1.661250529625254444e+02,1.132097733492469160e+01,3.778452883099726023e+01
1.220789096055000300e+01,1.197051283784354041e+02,1.220789096055000300e+01,2.047975535702050820e+00
